CódigodoMunicípio,Município,Estado,AnodeReferência,Tipodeserviço,Naturezajurídica,POP_TOTAL,POP_TOTAL_ESGOTO,POP_TOTAL_AGUA,REGIAO,DIF_AG_2011_2020,DIF_ES_2011_2020,INV_TOTAL,INV_TOTAL_AG,INV_TOTAL_ES,INV_TOTAL_PCP,INV_TOTAL_AG_PCP,INV_TOTAL_ES_PCP,latitude,longitude,COD_IBGE,IDHM,IDHM_RENDA,IDHM_EDUCACAO,IDHM_LONGEVIDADE
315920,Santa Rita de Caldas,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,8924.0,4403.0,5291.0,SE,-0.03354759910608873,-0.08409806353712779,832559.3028679183,350800.0863268161,244359.65842124412,15.124893545495292,10.808865979381444,1.9135118780815779,-220.292,-463.385,315920,0.69,0.823,0.576,0.693
315930,Santa Rita de Jacutinga,MG,2020,Água e Esgoto,Administração pública direta,4863.0,3890.0,4863.0,SE,0.40710443747198566,0.30652913127630743,0.0,0.0,0.0,,,,-221.474,-440.977,315930,0.682,0.826,0.567,0.676
315935,Santa Rita de Minas,MG,2020,Água         ,Sociedade de economia mista com administração pública,7268.0,,5027.0,SE,-0.037482507081533334,,341305.801572749,218735.01523924232,3732.91,8.35973858007705,6.029600990643918,0.5136089708310402,-19.876,-421.363,315935,0.613,0.791,0.464,0.627
315935,Santa Rita de Minas,MG,2020,Esgotos      ,Administração pública direta,7268.0,5300.0,,SE,,,341305.801572749,218735.01523924232,3732.91,,,,-19.876,-421.363,315935,0.613,0.791,0.464,0.627
315940,Santa Rita de Ibitipoca,MG,2020,Água         ,Sociedade de economia mista com administração pública,3402.0,,1584.0,SE,-0.1473581355703163,,163373.48262538886,112351.22971323345,0.0,7.952821869488536,6.048468547912992,0.0,-215.658,-439.163,315940,0.63,0.793,0.505,0.625
315950,Santa Rita do Itueto,MG,2020,Esgotos      ,Administração pública direta,5457.0,2213.0,,SE,,,466557.33174771094,279596.7918806246,0.0,,,,-193.576,-413.821,315950,0.607,0.779,0.472,0.609
315950,Santa Rita do Itueto,MG,2020,Água         ,Sociedade de economia mista com administração pública,5457.0,,2180.0,SE,,,466557.33174771094,279596.7918806246,0.0,6.090936411947957,4.620700018325087,0.0,-193.576,-413.821,315950,0.607,0.779,0.472,0.609
315960,Santa Rita do Sapucaí,MG,2020,Água e Esgoto,Sociedade de economia mista com administração pública,43753.0,34935.0,36387.0,SE,-0.028077590385100715,-0.061263886181960325,7367437.387558488,1856907.60875822,4146067.7245929195,16.04106644115832,10.468934244508949,2.9485813544214112,-222.461,-457.034,315960,0.721,0.83,0.62,0.727
315970,Santa Rosa da Serra,MG,2020,Água         ,Sociedade de economia mista com administração pública,3357.0,,2072.0,SE,0.005092792610756236,,273702.92947351333,145291.48240365527,10740.39,13.197292225201071,7.080878760798331,3.199401251117069,-195.186,-459.611,315970,0.705,0.866,0.583,0.695
315980,Santa Vitória,MG,2020,Esgotos      ,Administração pública direta,19872.0,19730.0,,SE,,,4976504.792672791,4428233.447374945,0.0,,,,-188.414,-501.208,315980,0.71,0.865,0.576,0.718
315980,Santa Vitória,MG,2020,Água         ,Sociedade de economia mista com administração pública,19872.0,,16167.0,SE,,,4976504.792672791,4428233.447374945,0.0,10.803676026570049,7.628333333333333,0.0,-188.414,-501.208,315980,0.71,0.865,0.576,0.718
315990,Santo Antônio do Amparo,MG,2020,Água e Esgoto,Empresa privada,18613.0,16297.0,16297.0,SE,-2.5569087798160695e-06,,2195683.425234034,1142161.984424541,711493.3842579215,40.98828775586956,15.173803255788965,19.499006071025626,-20.943,-449.176,315990,0.672,0.823,0.576,0.641
316000,Santo Antônio do Aventureiro,MG,2020,Água         ,Sociedade de economia mista com administração pública,3602.0,,2279.0,SE,-0.24286678428291286,,717883.0113895637,659984.4095646786,0.0,11.961254858411994,9.160671848972793,0.0,-217.606,-428.115,316000,0.671,0.841,0.545,0.66
316010,Santo Antônio do Grama,MG,2020,Água         ,Sociedade de economia mista com administração pública,3886.0,,3218.0,SE,0.0043253396169364855,,260958.77521382406,167485.11515973616,0.0,10.408219248584661,7.884624292331447,0.0,-203.185,-426.047,316010,0.633,0.823,0.493,0.626
