CódigodoMunicípio,Município,Estado,AnodeReferência,Naturezajurídica,POP_TOTAL,REGIAO,PERCENT_AG,PERCENT_ES,INVESTIMENTO_TOTAL_ATUAL2020_y,INVESTIMENTO_TOTAL_AG_ATUAL2020_y,INVESTIMENTO_TOTAL_ES_ATUAL2020_y,INVESTIMENTO_TOTAL_ATUAL2020_PCP,INVESTIMENTO_TOTAL_AG_ATUAL2020_PCP,INVESTIMENTO_TOTAL_ES_ATUAL2020_PCP
431890,São Luiz Gonzaga,RS,2020,Administração pública direta,33293.0,S,,0.4505451596431682,4246027.980897739,3646320.767554476,0.0,,,
431890,São Luiz Gonzaga,RS,2020,Sociedade de economia mista com administração pública,33293.0,S,0.8840897485958009,,4246027.980897739,3646320.767554476,0.0,6.83347250172709,3.7886856095876014,0.0
431900,São Marcos,RS,2020,Sociedade de economia mista com administração pública,21658.0,S,0.875380921599409,,4651104.37822448,3876456.053634012,47937.591757098984,3.747164096407794,1.0062521931849664,0.0
431910,São Martinho,RS,2020,Sociedade de economia mista com administração pública,5380.0,S,0.5998141263940521,,589549.3736337422,485232.64752049715,0.0,68.60762267657992,59.26863011152416,0.0
431912,São Martinho da Serra,RS,2020,Administração pública direta,3231.0,S,0.6236459300526153,,0.0,0.0,0.0,,,
431915,São Miguel das Missões,RS,2020,Sociedade de economia mista com administração pública,7683.0,S,0.5022777560848627,,1119843.152829336,944064.9223374487,0.0,1.8504841858648966,0.38613432253026164,0.0
431920,São Nicolau,RS,2020,Sociedade de economia mista com administração pública,5208.0,S,0.6445852534562212,,123361.01950676001,109646.07839613609,0.0,9.71850806451613,7.703951612903226,0.0
431930,São Paulo das Missões,RS,2020,Administração pública direta,5720.0,S,1.0,,0.0,0.0,0.0,,,
431935,São Pedro da Serra,RS,2020,Sociedade de economia mista com administração pública,3842.0,S,0.431025507548152,,72563.98266639916,63695.612943205095,0.0,7.352243623112962,5.653110359187923,0.0
431936,São Pedro das Missões,RS,2020,Administração pública direta,2017.0,S,1.0,,0.0,0.0,0.0,,,
431937,São Pedro do Butiá,RS,2020,Administração pública direta,2949.0,S,1.0,,0.0,0.0,0.0,,,
431940,São Pedro do Sul,RS,2020,Sociedade de economia mista com administração pública,16148.0,S,0.7288209066138222,,2195215.678482618,1629126.4081608101,153922.938875,9.037744612335892,7.036088679712657,0.0
431950,São Sebastião do Caí,RS,2020,Sociedade de economia mista com administração pública,25959.0,S,0.676566893948149,,4625484.008832594,4017349.3275885317,0.0,27.549189491120615,24.741169151354057,0.0
431960,São Sepé,RS,2020,Administração pública direta,23555.0,S,,0.7908724262364678,10011621.010131577,4529568.106598272,4202324.778715646,,,
431960,São Sepé,RS,2020,Sociedade de economia mista com administração pública,23555.0,S,0.7909573338993844,,10011621.010131577,4529568.106598272,4202324.778715646,73.047222670346,67.55108809170027,0.0
431970,São Valentim,RS,2020,Sociedade de economia mista com administração pública,3259.0,S,0.480208652961031,,1677106.0265763737,114629.85679130259,1406225.784496771,2.1175575329855785,0.3566063209573489,0.0
431971,São Valentim do Sul,RS,2020,Administração pública direta,2245.0,S,1.0,,0.0,0.0,0.0,,,
431973,São Valério do Sul,RS,2020,Administração pública direta,2729.0,S,1.0,,0.0,0.0,0.0,,,
431975,São Vendelino,RS,2020,Administração pública direta,2266.0,S,0.9399823477493381,,0.0,0.0,0.0,,,
431980,São Vicente do Sul,RS,2020,Administração pública direta,8732.0,S,,0.744388456252863,978102.0038306372,827601.2412739994,0.0,,,
431980,São Vicente do Sul,RS,2020,Sociedade de economia mista com administração pública,8732.0,S,0.6967475950526798,,978102.0038306372,827601.2412739994,0.0,5.546098259276225,3.5172755382501144,0.0
431990,Sapiranga,RS,2020,Sociedade de economia mista com administração pública,80037.0,S,0.7231155590539375,0.010882466859077677,48972465.83318265,9795003.869886229,32873406.169818968,5.30263578095131,3.5549754488549046,0.0
432000,Sapucaia do Sul,RS,2020,Sociedade de economia mista com administração pública,141808.0,S,0.9962766557599008,0.07199170709691978,43353698.58975845,12210923.255337998,26585501.714210734,46.22157156154801,8.926080475008463,33.06987870924067
432010,Sarandi,RS,2020,Sociedade de economia mista com administração pública,24763.0,S,0.8428300286718088,,3196694.7319952482,1800630.2588038964,0.0,6.880277026208455,4.8080478940354565,0.0
432020,Seberi,RS,2020,Administração pública direta,10713.0,S,0.45645477457294875,,1188376.764892274,940158.5712135253,0.0,,,
432020,Seberi,RS,2020,Sociedade de economia mista com administração pública,10713.0,S,0.5435452254270512,,1188376.764892274,940158.5712135253,0.0,8.187003640436853,6.157749463268925,0.0
432023,Sede Nova,RS,2020,Sociedade de economia mista com administração pública,2891.0,S,0.525077827741266,,301326.49486170214,265371.8746920768,0.0,1.6739605672777587,0.0,0.0
432030,Selbach,RS,2020,Sociedade de economia mista com administração pública,5107.0,S,0.6279616213040924,,798958.7131541797,685495.3164687287,0.0,36.187268455061684,32.90443313099667,0.0
432032,Senador Salgado Filho,RS,2020,Administração pública direta,2770.0,S,1.0,,0.0,0.0,0.0,,,
432035,Sentinela do Sul,RS,2020,Sociedade de economia mista com administração pública,5609.0,S,0.23836691032269566,,61570.33321145493,7616.22865310435,0.0,6.1195008022820465,0.16577286503833127,0.0
432040,Serafina Corrêa,RS,2020,Sociedade de economia mista com administração pública,17795.0,S,0.8457431862882833,,4629084.330656065,2680873.2434473606,1351972.8323093876,4.796967687552683,1.5773262152289969,0.0
432045,Sério,RS,2020,Administração pública direta,1924.0,S,1.0,,0.0,0.0,0.0,,,
432050,Sertão,RS,2020,Sociedade de economia mista com administração pública,5315.0,S,0.5380997177798683,,153627.96060103973,111711.25775867823,0.0,1.8718137347130763,0.0,0.0
432055,Sertão Santana,RS,2020,Sociedade de economia mista com administração pública,6537.0,S,0.18571210035184335,,128628.4388075759,80740.51267521612,0.0,1.7099755239406456,0.0238427413186477,0.0
432057,Sete de Setembro,RS,2020,Administração pública direta,1950.0,S,1.0,,0.0,0.0,0.0,,,
432060,Severiano de Almeida,RS,2020,Sociedade de economia mista com administração pública,3631.0,S,0.3640870283668411,,496279.60129180213,341226.83093574323,0.0,3.360713302120628,2.145169374827871,0.0
432065,Silveira Martins,RS,2020,Sociedade de economia mista com administração pública,2374.0,S,0.44692502106149956,,6294665.81274197,4765758.3864140855,0.0,128.4419755686605,86.62604465037911,0.0
432067,Sinimbu,RS,2020,Administração pública direta,10162.0,S,0.4351505609132061,,0.0,0.0,0.0,,,
432070,Sobradinho,RS,2020,Sociedade de economia mista com administração pública,15005.0,S,0.7975341552815728,,845288.9821894388,545323.3780992244,0.0,5.701151616127957,3.419220259913362,0.0
432080,Soledade,RS,2020,Sociedade de economia mista com administração pública,31035.0,S,0.7999033349444176,,15534856.878689855,13789828.671650384,83938.14869007724,67.27431802803287,58.4278089254068,0.0
432085,Tabaí,RS,2020,Organização social,4769.0,S,0.5527364227301321,,0.0,21932.63,0.0,,4.598999790312435,
432090,Tapejara,RS,2020,Administração pública direta,24552.0,S,,0.8872596937113066,4291966.720714213,2154669.0936027006,0.0,,,
432090,Tapejara,RS,2020,Sociedade de economia mista com administração pública,24552.0,S,0.8872596937113066,,4291966.720714213,2154669.0936027006,0.0,12.295855327468232,9.609931981101335,0.0
432100,Tapera,RS,2020,Sociedade de economia mista com administração pública,10577.0,S,0.8441902240710977,0.0450978538337903,1210579.03738287,1078885.7101572256,0.0,13.719938545901485,10.293586083010306,0.0
432110,Tapes,RS,2020,Sociedade de economia mista com administração pública,17332.0,S,0.8463535656588969,0.006346642049388415,2379227.9523563692,1828313.9978919055,0.0,8.118213708746827,5.468444495730441,0.0
432120,Taquara,RS,2020,Sociedade de economia mista com administração pública,57584.0,S,0.6618331480966936,,3520202.271041439,2018049.1868183017,358563.66858503455,9.082224749930537,4.710084051125312,0.0
432130,Taquari,RS,2020,Sociedade de economia mista com administração pública,26885.0,S,0.8655384043146737,,4164509.393651219,3703653.0546209887,0.0,16.23307978426632,12.399027338664682,0.0
432132,Taquaruçu do Sul,RS,2020,Sociedade de economia mista com administração pública,3077.0,S,0.39584010399740005,,317827.6254415264,48002.16891739957,0.0,1.8473090672733181,0.5102177445563861,0.0
432135,Tavares,RS,2020,Sociedade de economia mista com administração pública,5483.0,S,0.15447747583439722,,30291.44438200376,26373.92894314444,0.0,0.7857760350173263,0.2411088819989057,0.0
432140,Tenente Portela,RS,2020,Sociedade de economia mista com administração pública,13434.0,S,0.6448563346732172,,2699914.602695513,2030623.4132967552,0.0,31.785844126842342,28.952635104957572,0.0
432143,Terra de Areia,RS,2020,Sociedade de economia mista com administração pública,11315.0,S,0.48599204595669465,,566657.5435264076,446609.52397688734,13213.22909,4.159903667697746,2.330430402121078,0.0
432145,Teutônia,RS,2020,Administração pública direta,33766.0,S,0.7202511402002014,,2686706.000813764,834907.6548779387,110882.3282931601,,,
432145,Teutônia,RS,2020,Organização social,33766.0,S,0.277498074986673,,2686706.000813764,834907.6548779387,110882.3282931601,7.989705621038915,1.4665947995024582,0.0
432146,Tio Hugo,RS,2020,Administração pública direta,3055.0,S,1.0,,0.0,0.0,0.0,,,
